Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Requires Shipping,Variant Taxable,Image Src
anarkali-suit-set--powder-blue,Anarkali Suit Set - Powder Blue,Anarkali Suit Set - Powder Blue. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"anarkali,suit,festive,party",TRUE,Size,L,anarkali-suit-set--powder-blue-L,5499,12,TRUE,TRUE,https://picsum.photos/seed/anarkali-suit-set--powder-blue/600/600
anarkali-suit-set--powder-blue,Anarkali Suit Set - Powder Blue,Anarkali Suit Set - Powder Blue. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"anarkali,suit,festive,party",TRUE,Size,XL,anarkali-suit-set--powder-blue-XL,5599,12,TRUE,TRUE,https://picsum.photos/seed/anarkali-suit-set--powder-blue/600/600
cotton-salwar-kameez--block-print,Cotton Salwar Kameez - Block Print,Cotton Salwar Kameez - Block Print. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"salwar kameez,cotton,daily,work",TRUE,Size,S,cotton-salwar-kameez--block-print-S,1899,30,TRUE,TRUE,https://picsum.photos/seed/cotton-salwar-kameez--block-print/600/600
cotton-salwar-kameez--block-print,Cotton Salwar Kameez - Block Print,Cotton Salwar Kameez - Block Print. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"salwar kameez,cotton,daily,work",TRUE,Size,M,cotton-salwar-kameez--block-print-M,1999,30,TRUE,TRUE,https://picsum.photos/seed/cotton-salwar-kameez--block-print/600/600
cotton-salwar-kameez--block-print,Cotton Salwar Kameez - Block Print,Cotton Salwar Kameez - Block Print. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"salwar kameez,cotton,daily,work",TRUE,Size,L,cotton-salwar-kameez--block-print-L,2099,30,TRUE,TRUE,https://picsum.photos/seed/cotton-salwar-kameez--block-print/600/600
cotton-salwar-kameez--block-print,Cotton Salwar Kameez - Block Print,Cotton Salwar Kameez - Block Print. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"salwar kameez,cotton,daily,work",TRUE,Size,XL,cotton-salwar-kameez--block-print-XL,2199,30,TRUE,TRUE,https://picsum.photos/seed/cotton-salwar-kameez--block-print/600/600
sharara-suit--emerald,Sharara Suit - Emerald,Sharara Suit - Emerald. Handcrafted salwar suit from Vivaha.,Vivaha,salwar suit,"sharara,suit,wedding,eid,festive",TRUE,Size,S,sharara-suit--emerald-S,8499,7,TRUE,TRUE,https://picsum.photos/seed/sharara-suit--emerald/600/600
sharara-suit--emerald,Sharara Suit - Emerald,Sharara Suit - Emerald. Handcrafted salwar suit from Vivaha.,Vivaha,salwar suit,"sharara,suit,wedding,eid,festive",TRUE,Size,M,sharara-suit--emerald-M,8599,7,TRUE,TRUE,https://picsum.photos/seed/sharara-suit--emerald/600/600
sharara-suit--emerald,Sharara Suit - Emerald,Sharara Suit - Emerald. Handcrafted salwar suit from Vivaha.,Vivaha,salwar suit,"sharara,suit,wedding,eid,festive",TRUE,Size,L,sharara-suit--emerald-L,8699,7,TRUE,TRUE,https://picsum.photos/seed/sharara-suit--emerald/600/600
palazzo-suit-set--peach,Palazzo Suit Set - Peach,Palazzo Suit Set - Peach. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"palazzo,suit,casual,summer",TRUE,Size,S,palazzo-suit-set--peach-S,2299,26,TRUE,TRUE,https://picsum.photos/seed/palazzo-suit-set--peach/600/600
palazzo-suit-set--peach,Palazzo Suit Set - Peach,Palazzo Suit Set - Peach. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"palazzo,suit,casual,summer",TRUE,Size,M,palazzo-suit-set--peach-M,2399,26,TRUE,TRUE,https://picsum.photos/seed/palazzo-suit-set--peach/600/600
palazzo-suit-set--peach,Palazzo Suit Set - Peach,Palazzo Suit Set - Peach. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"palazzo,suit,casual,summer",TRUE,Size,L,palazzo-suit-set--peach-L,2499,26,TRUE,TRUE,https://picsum.photos/seed/palazzo-suit-set--peach/600/600
palazzo-suit-set--peach,Palazzo Suit Set - Peach,Palazzo Suit Set - Peach. Handcrafted salwar suit from Aangan.,Aangan,salwar suit,"palazzo,suit,casual,summer",TRUE,Size,XL,palazzo-suit-set--peach-XL,2599,26,TRUE,TRUE,https://picsum.photos/seed/palazzo-suit-set--peach/600/600
chikankari-kurti--white,Chikankari Kurti - White,Chikankari Kurti - White. Handcrafted kurti from Aangan.,Aangan,kurti,"kurti,chikankari,cotton,casual,summer",TRUE,Size,S,chikankari-kurti--white-S,1499,40,TRUE,TRUE,https://picsum.photos/seed/chikankari-kurti--white/600/600
chikankari-kurti--white,Chikankari Kurti - White,Chikankari Kurti - White. Handcrafted kurti from Aangan.,Aangan,kurti,"kurti,chikankari,cotton,casual,summer",TRUE,Size,M,chikankari-kurti--white-M,1599,40,TRUE,TRUE,https://picsum.photos/seed/chikankari-kurti--white/600/600
chikankari-kurti--white,Chikankari Kurti - White,Chikankari Kurti - White. Handcrafted kurti from Aangan.,Aangan,kurti,"kurti,chikankari,cotton,casual,summer",TRUE,Size,L,chikankari-kurti--white-L,1699,40,TRUE,TRUE,https://picsum.photos/seed/chikankari-kurti--white/600/600
chikankari-kurti--white,Chikankari Kurti - White,Chikankari Kurti - White. Handcrafted kurti from Aangan.,Aangan,kurti,"kurti,chikankari,cotton,casual,summer",TRUE,Size,XL,chikankari-kurti--white-XL,1799,40,TRUE,TRUE,https://picsum.photos/seed/chikankari-kurti--white/600/600
chikankari-kurti--white,Chikankari Kurti - White,Chikankari Kurti - White. Handcrafted kurti from Aangan.,Aangan,kurti,"kurti,chikankari,cotton,casual,summer",TRUE,Size,XXL,chikankari-kurti--white-XXL,1899,40,TRUE,TRUE,https://picsum.photos/seed/chikankari-kurti--white/600/600
rayon-printed-kurti--indigo,Rayon Printed Kurti - Indigo,Rayon Printed Kurti - Indigo. Handcrafted kurti from Rangrez.,Rangrez,kurti,"kurti,rayon,printed,daily,work",TRUE,Size,S,rayon-printed-kurti--indigo-S,899,55,TRUE,TRUE,https://picsum.photos/seed/rayon-printed-kurti--indigo/600/600
rayon-printed-kurti--indigo,Rayon Printed Kurti - Indigo,Rayon Printed Kurti - Indigo. Handcrafted kurti from Rangrez.,Rangrez,kurti,"kurti,rayon,printed,daily,work",TRUE,Size,M,rayon-printed-kurti--indigo-M,999,55,TRUE,TRUE,https://picsum.photos/seed/rayon-printed-kurti--indigo/600/600
rayon-printed-kurti--indigo,Rayon Printed Kurti - Indigo,Rayon Printed Kurti - Indigo. Handcrafted kurti from Rangrez.,Rangrez,kurti,"kurti,rayon,printed,daily,work",TRUE,Size,L,rayon-printed-kurti--indigo-L,1099,55,TRUE,TRUE,https://picsum.photos/seed/rayon-printed-kurti--indigo/600/600
rayon-printed-kurti--indigo,Rayon Printed Kurti - Indigo,Rayon Printed Kurti - Indigo. Handcrafted kurti from Rangrez.,Rangrez,kurti,"kurti,rayon,printed,daily,work",TRUE,Size,XL,rayon-printed-kurti--indigo-XL,1199,55,TRUE,TRUE,https://picsum.photos/seed/rayon-printed-kurti--indigo/600/600
silk-blend-festive-kurti--gold,Silk Blend Festive Kurti - Gold,Silk Blend Festive Kurti - Gold. Handcrafted kurti from Kalanidhi.,Kalanidhi,kurti,"kurti,silk,festive,diwali",TRUE,Size,S,silk-blend-festive-kurti--gold-S,2450,15,TRUE,TRUE,https://picsum.photos/seed/silk-blend-festive-kurti--gold/600/600
silk-blend-festive-kurti--gold,Silk Blend Festive Kurti - Gold,Silk Blend Festive Kurti - Gold. Handcrafted kurti from Kalanidhi.,Kalanidhi,kurti,"kurti,silk,festive,diwali",TRUE,Size,M,silk-blend-festive-kurti--gold-M,2550,15,TRUE,TRUE,https://picsum.photos/seed/silk-blend-festive-kurti--gold/600/600
silk-blend-festive-kurti--gold,Silk Blend Festive Kurti - Gold,Silk Blend Festive Kurti - Gold. Handcrafted kurti from Kalanidhi.,Kalanidhi,kurti,"kurti,silk,festive,diwali",TRUE,Size,L,silk-blend-festive-kurti--gold-L,2650,15,TRUE,TRUE,https://picsum.photos/seed/silk-blend-festive-kurti--gold/600/600
silk-blend-festive-kurti--gold,Silk Blend Festive Kurti - Gold,Silk Blend Festive Kurti - Gold. Handcrafted kurti from Kalanidhi.,Kalanidhi,kurti,"kurti,silk,festive,diwali",TRUE,Size,XL,silk-blend-festive-kurti--gold-XL,2750,15,TRUE,TRUE,https://picsum.photos/seed/silk-blend-festive-kurti--gold/600/600
banarasi-dupatta--gold-zari,Banarasi Dupatta - Gold Zari,Banarasi Dupatta - Gold Zari. Handcrafted dupatta from Kalanidhi.,Kalanidhi,dupatta,"dupatta,banarasi,zari,festive,wedding",TRUE,Size,Free Size,banarasi-dupatta--gold-zari-FreeSize,1899,22,TRUE,TRUE,https://picsum.photos/seed/banarasi-dupatta--gold-zari/600/600
phulkari-dupatta--fuchsia,Phulkari Dupatta - Fuchsia,Phulkari Dupatta - Fuchsia. Handcrafted dupatta from Rangrez.,Rangrez,dupatta,"dupatta,phulkari,punjabi,festive",TRUE,Size,Free Size,phulkari-dupatta--fuchsia-FreeSize,1299,28,TRUE,TRUE,https://picsum.photos/seed/phulkari-dupatta--fuchsia/600/600
bandhani-dupatta--red,Bandhani Dupatta - Red,Bandhani Dupatta - Red. Handcrafted dupatta from Rangrez.,Rangrez,dupatta,"dupatta,bandhani,gujarati,navratri",TRUE,Size,Free Size,bandhani-dupatta--red-FreeSize,999,35,TRUE,TRUE,https://picsum.photos/seed/bandhani-dupatta--red/600/600
pashmina-shawl--charcoal,Pashmina Shawl - Charcoal,Pashmina Shawl - Charcoal. Handcrafted shawl from Himalaya Weaves.,Himalaya Weaves,shawl,"shawl,pashmina,winter,gifting",TRUE,Size,Free Size,pashmina-shawl--charcoal-FreeSize,4599,11,TRUE,TRUE,https://picsum.photos/seed/pashmina-shawl--charcoal/600/600
kashmiri-embroidered-stole--cream,Kashmiri Embroidered Stole - Cream,Kashmiri Embroidered Stole - Cream. Handcrafted shawl from Himalaya Weaves.,Himalaya Weaves,shawl,"stole,kashmiri,winter,gifting",TRUE,Size,Free Size,kashmiri-embroidered-stole--cream-FreeSize,2799,16,TRUE,TRUE,https://picsum.photos/seed/kashmiri-embroidered-stole--cream/600/600
kundan-choker-necklace-set,Kundan Choker Necklace Set,Kundan Choker Necklace Set. Handcrafted jewellery from Meenakari.,Meenakari,jewellery,"necklace,kundan,bridal,wedding,jewellery",TRUE,Size,One Size,kundan-choker-necklace-set-OneSize,6999,5,TRUE,TRUE,https://picsum.photos/seed/kundan-choker-necklace-set/600/600
oxidised-silver-jhumka-earrings,Oxidised Silver Jhumka Earrings,Oxidised Silver Jhumka Earrings. Handcrafted jewellery from Meenakari.,Meenakari,jewellery,"jhumka,earrings,oxidised,festive,casual",TRUE,Size,One Size,oxidised-silver-jhumka-earrings-OneSize,649,60,TRUE,TRUE,https://picsum.photos/seed/oxidised-silver-jhumka-earrings/600/600
temple-jewellery-haar--gold-tone,Temple Jewellery Haar - Gold Tone,Temple Jewellery Haar - Gold Tone. Handcrafted jewellery from Meenakari.,Meenakari,jewellery,"haar,necklace,temple,bridal,south indian",TRUE,Size,One Size,temple-jewellery-haar--gold-tone-OneSize,9499,3,TRUE,TRUE,https://picsum.photos/seed/temple-jewellery-haar--gold-tone/600/600
glass-bangles-set-of-12--red,Glass Bangles Set of 12 - Red,Glass Bangles Set of 12 - Red. Handcrafted jewellery from Meenakari.,Meenakari,jewellery,"bangles,chudi,karwa chauth,festive",TRUE,Size,2.4,glass-bangles-set-of-12--red-2.4,449,80,TRUE,TRUE,https://picsum.photos/seed/glass-bangles-set-of-12--red/600/600
glass-bangles-set-of-12--red,Glass Bangles Set of 12 - Red,Glass Bangles Set of 12 - Red. Handcrafted jewellery from Meenakari.,Meenakari,jewellery,"bangles,chudi,karwa chauth,festive",TRUE,Size,2.6,glass-bangles-set-of-12--red-2.6,549,80,TRUE,TRUE,https://picsum.photos/seed/glass-bangles-set-of-12--red/600/600
glass-bangles-set-of-12--red,Glass Bangles Set of 12 - Red,Glass Bangles Set of 12 - Red. Handcrafted jewellery from Meenakari.,Meenakari,jewellery,"bangles,chudi,karwa chauth,festive",TRUE,Size,2.8,glass-bangles-set-of-12--red-2.8,649,80,TRUE,TRUE,https://picsum.photos/seed/glass-bangles-set-of-12--red/600/600
silver-payal-anklet-pair,Silver Payal Anklet Pair,Silver Payal Anklet Pair. Handcrafted jewellery from Meenakari.,Meenakari,jewellery,"payal,anklet,silver,gifting",TRUE,Size,One Size,silver-payal-anklet-pair-OneSize,1299,18,TRUE,TRUE,https://picsum.photos/seed/silver-payal-anklet-pair/600/600
kolhapuri-leather-chappal--tan,Kolhapuri Leather Chappal - Tan,Kolhapuri Leather Chappal - Tan. Handcrafted footwear from Charan.,Charan,footwear,"kolhapuri,chappal,ethnic,casual",TRUE,Size,5,kolhapuri-leather-chappal--tan-5,1799,25,TRUE,TRUE,https://picsum.photos/seed/kolhapuri-leather-chappal--tan/600/600
kolhapuri-leather-chappal--tan,Kolhapuri Leather Chappal - Tan,Kolhapuri Leather Chappal - Tan. Handcrafted footwear from Charan.,Charan,footwear,"kolhapuri,chappal,ethnic,casual",TRUE,Size,6,kolhapuri-leather-chappal--tan-6,1899,25,TRUE,TRUE,https://picsum.photos/seed/kolhapuri-leather-chappal--tan/600/600
kolhapuri-leather-chappal--tan,Kolhapuri Leather Chappal - Tan,Kolhapuri Leather Chappal - Tan. Handcrafted footwear from Charan.,Charan,footwear,"kolhapuri,chappal,ethnic,casual",TRUE,Size,7,kolhapuri-leather-chappal--tan-7,1999,25,TRUE,TRUE,https://picsum.photos/seed/kolhapuri-leather-chappal--tan/600/600
kolhapuri-leather-chappal--tan,Kolhapuri Leather Chappal - Tan,Kolhapuri Leather Chappal - Tan. Handcrafted footwear from Charan.,Charan,footwear,"kolhapuri,chappal,ethnic,casual",TRUE,Size,8,kolhapuri-leather-chappal--tan-8,2099,25,TRUE,TRUE,https://picsum.photos/seed/kolhapuri-leather-chappal--tan/600/600
embroidered-juttis--royal-blue,Embroidered Juttis - Royal Blue,Embroidered Juttis - Royal Blue. Handcrafted footwear from Charan.,Charan,footwear,"jutti,mojari,wedding,festive",TRUE,Size,5,embroidered-juttis--royal-blue-5,1499,20,TRUE,TRUE,https://picsum.photos/seed/embroidered-juttis--royal-blue/600/600
embroidered-juttis--royal-blue,Embroidered Juttis - Royal Blue,Embroidered Juttis - Royal Blue. Handcrafted footwear from Charan.,Charan,footwear,"jutti,mojari,wedding,festive",TRUE,Size,6,embroidered-juttis--royal-blue-6,1599,20,TRUE,TRUE,https://picsum.photos/seed/embroidered-juttis--royal-blue/600/600
embroidered-juttis--royal-blue,Embroidered Juttis - Royal Blue,Embroidered Juttis - Royal Blue. Handcrafted footwear from Charan.,Charan,footwear,"jutti,mojari,wedding,festive",TRUE,Size,7,embroidered-juttis--royal-blue-7,1699,20,TRUE,TRUE,https://picsum.photos/seed/embroidered-juttis--royal-blue/600/600
embroidered-juttis--royal-blue,Embroidered Juttis - Royal Blue,Embroidered Juttis - Royal Blue. Handcrafted footwear from Charan.,Charan,footwear,"jutti,mojari,wedding,festive",TRUE,Size,8,embroidered-juttis--royal-blue-8,1799,20,TRUE,TRUE,https://picsum.photos/seed/embroidered-juttis--royal-blue/600/600
nehru-jacket--beige-raw-silk,Nehru Jacket - Beige Raw Silk,Nehru Jacket - Beige Raw Silk. Handcrafted menswear from Vastra.,Vastra,menswear,"nehru jacket,mens,wedding,festive",TRUE,Size,38,nehru-jacket--beige-raw-silk-38,3499,14,TRUE,TRUE,https://picsum.photos/seed/nehru-jacket--beige-raw-silk/600/600
nehru-jacket--beige-raw-silk,Nehru Jacket - Beige Raw Silk,Nehru Jacket - Beige Raw Silk. Handcrafted menswear from Vastra.,Vastra,menswear,"nehru jacket,mens,wedding,festive",TRUE,Size,40,nehru-jacket--beige-raw-silk-40,3599,14,TRUE,TRUE,https://picsum.photos/seed/nehru-jacket--beige-raw-silk/600/600
nehru-jacket--beige-raw-silk,Nehru Jacket - Beige Raw Silk,Nehru Jacket - Beige Raw Silk. Handcrafted menswear from Vastra.,Vastra,menswear,"nehru jacket,mens,wedding,festive",TRUE,Size,42,nehru-jacket--beige-raw-silk-42,3699,14,TRUE,TRUE,https://picsum.photos/seed/nehru-jacket--beige-raw-silk/600/600
nehru-jacket--beige-raw-silk,Nehru Jacket - Beige Raw Silk,Nehru Jacket - Beige Raw Silk. Handcrafted menswear from Vastra.,Vastra,menswear,"nehru jacket,mens,wedding,festive",TRUE,Size,44,nehru-jacket--beige-raw-silk-44,3799,14,TRUE,TRUE,https://picsum.photos/seed/nehru-jacket--beige-raw-silk/600/600
mens-kurta-pyjama-set--white,Mens Kurta Pyjama Set - White,Mens Kurta Pyjama Set - White. Handcrafted menswear from Vastra.,Vastra,menswear,"kurta,mens,cotton,festive,daily",TRUE,Size,38,mens-kurta-pyjama-set--white-38,2199,22,TRUE,TRUE,https://picsum.photos/seed/mens-kurta-pyjama-set--white/600/600
mens-kurta-pyjama-set--white,Mens Kurta Pyjama Set - White,Mens Kurta Pyjama Set - White. Handcrafted menswear from Vastra.,Vastra,menswear,"kurta,mens,cotton,festive,daily",TRUE,Size,40,mens-kurta-pyjama-set--white-40,2299,22,TRUE,TRUE,https://picsum.photos/seed/mens-kurta-pyjama-set--white/600/600
mens-kurta-pyjama-set--white,Mens Kurta Pyjama Set - White,Mens Kurta Pyjama Set - White. Handcrafted menswear from Vastra.,Vastra,menswear,"kurta,mens,cotton,festive,daily",TRUE,Size,42,mens-kurta-pyjama-set--white-42,2399,22,TRUE,TRUE,https://picsum.photos/seed/mens-kurta-pyjama-set--white/600/600
mens-kurta-pyjama-set--white,Mens Kurta Pyjama Set - White,Mens Kurta Pyjama Set - White. Handcrafted menswear from Vastra.,Vastra,menswear,"kurta,mens,cotton,festive,daily",TRUE,Size,44,mens-kurta-pyjama-set--white-44,2499,22,TRUE,TRUE,https://picsum.photos/seed/mens-kurta-pyjama-set--white/600/600
silk-sherwani--ivory-gold,Silk Sherwani - Ivory Gold,Silk Sherwani - Ivory Gold. Handcrafted menswear from Vastra.,Vastra,menswear,"sherwani,mens,groom,wedding,bridal",TRUE,Size,38,silk-sherwani--ivory-gold-38,24999,2,TRUE,TRUE,https://picsum.photos/seed/silk-sherwani--ivory-gold/600/600
silk-sherwani--ivory-gold,Silk Sherwani - Ivory Gold,Silk Sherwani - Ivory Gold. Handcrafted menswear from Vastra.,Vastra,menswear,"sherwani,mens,groom,wedding,bridal",TRUE,Size,40,silk-sherwani--ivory-gold-40,25099,2,TRUE,TRUE,https://picsum.photos/seed/silk-sherwani--ivory-gold/600/600
silk-sherwani--ivory-gold,Silk Sherwani - Ivory Gold,Silk Sherwani - Ivory Gold. Handcrafted menswear from Vastra.,Vastra,menswear,"sherwani,mens,groom,wedding,bridal",TRUE,Size,42,silk-sherwani--ivory-gold-42,25199,2,TRUE,TRUE,https://picsum.photos/seed/silk-sherwani--ivory-gold/600/600
