Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Requires Shipping,Variant Taxable,Image Src
fila-tshirts-18,Fila Tshirts 18,Premium tshirts for everyday comfort and style.,Fila,tshirts,"fila,tshirts",TRUE,Size,M,fila-tshirts-18-M,3829,36,TRUE,TRUE,https://picsum.photos/seed/fila-tshirts-18/600/600
fila-tshirts-18,Fila Tshirts 18,Premium tshirts for everyday comfort and style.,Fila,tshirts,"fila,tshirts",TRUE,Size,L,fila-tshirts-18-L,7170,24,TRUE,TRUE,https://picsum.photos/seed/fila-tshirts-18/600/600
nike-tshirts-19,Nike Tshirts 19,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,S,nike-tshirts-19-S,5805,32,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-19/600/600
nike-tshirts-19,Nike Tshirts 19,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,M,nike-tshirts-19-M,7581,21,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-19/600/600
nike-tshirts-19,Nike Tshirts 19,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,L,nike-tshirts-19-L,3462,25,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-19/600/600
reebok-tshirts-20,Reebok Tshirts 20,Premium tshirts for everyday comfort and style.,Reebok,tshirts,"reebok,tshirts",TRUE,Size,S,reebok-tshirts-20-S,4803,39,TRUE,TRUE,https://picsum.photos/seed/reebok-tshirts-20/600/600
reebok-tshirts-20,Reebok Tshirts 20,Premium tshirts for everyday comfort and style.,Reebok,tshirts,"reebok,tshirts",TRUE,Size,M,reebok-tshirts-20-M,4722,35,TRUE,TRUE,https://picsum.photos/seed/reebok-tshirts-20/600/600
reebok-tshirts-20,Reebok Tshirts 20,Premium tshirts for everyday comfort and style.,Reebok,tshirts,"reebok,tshirts",TRUE,Size,L,reebok-tshirts-20-L,2329,21,TRUE,TRUE,https://picsum.photos/seed/reebok-tshirts-20/600/600
nike-tshirts-21,Nike Tshirts 21,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,S,nike-tshirts-21-S,7482,36,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-21/600/600
nike-tshirts-21,Nike Tshirts 21,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,M,nike-tshirts-21-M,6513,33,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-21/600/600
nike-tshirts-21,Nike Tshirts 21,Premium tshirts for everyday comfort and style.,Nike,tshirts,"nike,tshirts",TRUE,Size,L,nike-tshirts-21-L,4232,12,TRUE,TRUE,https://picsum.photos/seed/nike-tshirts-21/600/600
nike-slides-22,Nike Slides 22,Premium slides for everyday comfort and style.,Nike,slides,"nike,slides",TRUE,Size,7,nike-slides-22-7,5553,18,TRUE,TRUE,https://picsum.photos/seed/nike-slides-22/600/600
nike-slides-22,Nike Slides 22,Premium slides for everyday comfort and style.,Nike,slides,"nike,slides",TRUE,Size,8,nike-slides-22-8,1184,16,TRUE,TRUE,https://picsum.photos/seed/nike-slides-22/600/600
nike-slides-22,Nike Slides 22,Premium slides for everyday comfort and style.,Nike,slides,"nike,slides",TRUE,Size,9,nike-slides-22-9,1125,18,TRUE,TRUE,https://picsum.photos/seed/nike-slides-22/600/600
nike-slides-23,Nike Slides 23,Premium slides for everyday comfort and style.,Nike,slides,"nike,slides",TRUE,Size,7,nike-slides-23-7,5626,24,TRUE,TRUE,https://picsum.photos/seed/nike-slides-23/600/600
nike-slides-23,Nike Slides 23,Premium slides for everyday comfort and style.,Nike,slides,"nike,slides",TRUE,Size,8,nike-slides-23-8,2166,12,TRUE,TRUE,https://picsum.photos/seed/nike-slides-23/600/600
nike-slides-23,Nike Slides 23,Premium slides for everyday comfort and style.,Nike,slides,"nike,slides",TRUE,Size,9,nike-slides-23-9,5976,49,TRUE,TRUE,https://picsum.photos/seed/nike-slides-23/600/600
fila-sneakers-24,Fila Sneakers 24,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,7,fila-sneakers-24-7,1638,13,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-24/600/600
fila-sneakers-24,Fila Sneakers 24,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,8,fila-sneakers-24-8,7613,11,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-24/600/600
fila-sneakers-24,Fila Sneakers 24,Premium sneakers for everyday comfort and style.,Fila,sneakers,"fila,sneakers",TRUE,Size,9,fila-sneakers-24-9,1162,16,TRUE,TRUE,https://picsum.photos/seed/fila-sneakers-24/600/600
converse-tshirts-25,Converse Tshirts 25,Premium tshirts for everyday comfort and style.,Converse,tshirts,"converse,tshirts",TRUE,Size,S,converse-tshirts-25-S,3313,39,TRUE,TRUE,https://picsum.photos/seed/converse-tshirts-25/600/600
converse-tshirts-25,Converse Tshirts 25,Premium tshirts for everyday comfort and style.,Converse,tshirts,"converse,tshirts",TRUE,Size,M,converse-tshirts-25-M,4986,23,TRUE,TRUE,https://picsum.photos/seed/converse-tshirts-25/600/600
converse-tshirts-25,Converse Tshirts 25,Premium tshirts for everyday comfort and style.,Converse,tshirts,"converse,tshirts",TRUE,Size,L,converse-tshirts-25-L,1053,22,TRUE,TRUE,https://picsum.photos/seed/converse-tshirts-25/600/600
converse-tshirts-26,Converse Tshirts 26,Premium tshirts for everyday comfort and style.,Converse,tshirts,"converse,tshirts",TRUE,Size,S,converse-tshirts-26-S,1283,39,TRUE,TRUE,https://picsum.photos/seed/converse-tshirts-26/600/600
converse-tshirts-26,Converse Tshirts 26,Premium tshirts for everyday comfort and style.,Converse,tshirts,"converse,tshirts",TRUE,Size,M,converse-tshirts-26-M,3887,23,TRUE,TRUE,https://picsum.photos/seed/converse-tshirts-26/600/600
converse-tshirts-26,Converse Tshirts 26,Premium tshirts for everyday comfort and style.,Converse,tshirts,"converse,tshirts",TRUE,Size,L,converse-tshirts-26-L,6910,50,TRUE,TRUE,https://picsum.photos/seed/converse-tshirts-26/600/600
puma-slides-27,Puma Slides 27,Premium slides for everyday comfort and style.,Puma,slides,"puma,slides",TRUE,Size,7,puma-slides-27-7,7968,23,TRUE,TRUE,https://picsum.photos/seed/puma-slides-27/600/600
puma-slides-27,Puma Slides 27,Premium slides for everyday comfort and style.,Puma,slides,"puma,slides",TRUE,Size,8,puma-slides-27-8,5220,41,TRUE,TRUE,https://picsum.photos/seed/puma-slides-27/600/600
puma-slides-27,Puma Slides 27,Premium slides for everyday comfort and style.,Puma,slides,"puma,slides",TRUE,Size,9,puma-slides-27-9,7104,32,TRUE,TRUE,https://picsum.photos/seed/puma-slides-27/600/600
fila-slides-28,Fila Slides 28,Premium slides for everyday comfort and style.,Fila,slides,"fila,slides",TRUE,Size,7,fila-slides-28-7,4856,46,TRUE,TRUE,https://picsum.photos/seed/fila-slides-28/600/600
fila-slides-28,Fila Slides 28,Premium slides for everyday comfort and style.,Fila,slides,"fila,slides",TRUE,Size,8,fila-slides-28-8,4822,13,TRUE,TRUE,https://picsum.photos/seed/fila-slides-28/600/600
fila-slides-28,Fila Slides 28,Premium slides for everyday comfort and style.,Fila,slides,"fila,slides",TRUE,Size,9,fila-slides-28-9,4724,13,TRUE,TRUE,https://picsum.photos/seed/fila-slides-28/600/600
puma-slides-29,Puma Slides 29,Premium slides for everyday comfort and style.,Puma,slides,"puma,slides",TRUE,Size,7,puma-slides-29-7,6818,15,TRUE,TRUE,https://picsum.photos/seed/puma-slides-29/600/600
puma-slides-29,Puma Slides 29,Premium slides for everyday comfort and style.,Puma,slides,"puma,slides",TRUE,Size,8,puma-slides-29-8,7070,20,TRUE,TRUE,https://picsum.photos/seed/puma-slides-29/600/600
puma-slides-29,Puma Slides 29,Premium slides for everyday comfort and style.,Puma,slides,"puma,slides",TRUE,Size,9,puma-slides-29-9,6669,35,TRUE,TRUE,https://picsum.photos/seed/puma-slides-29/600/600
